commune,count
Paris,981
Boulogne-Billancourt,29
Issy-les-Moulineaux,22
Montreuil,22
Pantin,20
Saint-Denis,19
Ivry-sur-Seine,18
Vitry-sur-Seine,16
Créteil,15
Montrouge,13
Aubervilliers,13
Asnières-sur-Seine,13
Clichy,13
Neuilly-sur-Seine,12
Fontenay-sous-Bois,11
Levallois-Perret,11
Villejuif,11
Rueil-Malmaison,10
Vincennes,10
Suresnes,10
Saint-Ouen-sur-Seine,9
Bagnolet,8
Malakoff,8
Nanterre,8
Vanves,7
Courbevoie,7
Maisons-Alfort,7
La Garenne-Colombes,7
Argenteuil,7
Sèvres,6
Saint-Mandé,6
Bagneux,6
Châtillon,6
Romainville,5
Meudon,5
Colombes,5
Gennevilliers,5
Alfortville,5
Champigny-sur-Marne,5
Le Kremlin-Bicêtre,5
Bobigny,5
Fontenay-aux-Roses,4
Charenton-le-Pont,4
Rosny-sous-Bois,4
Les Lilas,4
Nogent-sur-Marne,4
Arcueil,4
Cachan,4
Gentilly,4
Clamart,3
Choisy-le-Roi,3
Sceaux,3
Garches,3
Chaville,3
Saint-Cloud,3
Puteaux,3
Saint-Maurice,3
Bourg-la-Reine,3
Le Pré-Saint-Gervais,2
Joinville-le-Pont,2
Villeneuve-la-Garenne,2
Bois-Colombes,2
Noisy-le-Sec,2
La Courneuve,2
Ville-d'Avray,1
